Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,PoolScore,SimplOverallGrade,SimplExterGrade,SimplPoolScore,SimplGarageScore,SimplFireplaceScore,SimplKitchenScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan
11,SC20,RL,70.0,11200,2,,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,0.0,3.0,906,1.0,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,,Detchd,1965.0,Unf,1,384,3.0,3.0,2,0,0,0,0,0,0,,,,0,Feb,2008,WD,Normal,129500,2,2,,1.0,1.0,,4,1,2,1.0,1.0,1.0,1.0,1,1,25,9.0,9,3,,1152.0,,4,1,,384.0,,1,2.0,2080,1040,0,0.0,0
12,SC60,RL,85.0,11924,2,,3,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5.0,3.0,0.0,6.0,998,1.0,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,4.0,BuiltIn,2005.0,Fin,3,736,3.0,3.0,2,147,21,0,0,0,0,,,,0,Jul,2006,New,Partial,345000,3,2,,1.0,1.0,2.0,4,2,2,2.0,1.0,1.0,2.0,1,2,45,9.0,15,5,8.0,2208.0,,6,2,,736.0,4.0,2,4.0,3499,2324,21,1.0,1
13,SC20,RL,,12968,2,,2,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3.0,0.0,5.0,737,1.0,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,8,0,,Detchd,1962.0,Unf,1,352,3.0,3.0,2,140,0,0,0,176,0,,,,0,Sep,2008,WD,Normal,144000,2,2,,1.0,1.0,,4,1,1,2.0,1.0,1.0,1.0,1,1,30,9.0,9,3,,1056.0,,4,1,,352.0,,1,2.0,1824,912,176,0.0,0
14,SC20,RL,91.0,10652,2,,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4.0,3.0,2.0,1.0,0,1.0,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4.0,Attchd,2006.0,RFn,3,840,3.0,3.0,2,160,33,0,0,0,0,,,,0,Aug,2007,New,Partial,279500,3,2,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,2.0,1,2,35,9.0,12,4,4.0,2520.0,,6,2,,840.0,2.0,2,2.0,2988,1494,33,1.0,1
15,SC20,RL,,10920,2,,3,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,3.0,0.0,4.0,733,1.0,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2.0,Attchd,1960.0,RFn,1,352,3.0,3.0,2,0,213,176,0,0,0,,GdWo,,0,May,2008,WD,Normal,157000,2,2,,1.0,1.0,1.0,4,1,1,2.0,1.0,1.0,1.0,1,1,30,9.0,9,3,2.0,1056.0,,4,1,,352.0,1.0,1,2.5,2506,1253,389,1.0,0
16,SC45,RM,51.0,6120,2,,4,Lvl,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,0,1.0,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,8,0,,Detchd,1991.0,Unf,2,576,3.0,3.0,2,48,112,0,0,0,0,,GdPrv,,0,Jul,2007,WD,Normal,132000,3,3,,1.0,1.0,,4,1,2,1.0,1.0,1.0,1.0,1,1,56,9.0,9,3,,1728.0,,9,1,,576.0,,1,1.0,1686,854,112,0.0,0
17,SC20,RL,,11241,2,,3,Lvl,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3.0,3.0,0.0,5.0,578,1.0,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3.0,Attchd,1970.0,Fin,2,480,3.0,3.0,2,0,0,0,0,0,0,,,Shed,700,Mar,2010,WD,Normal,149000,2,3,,1.0,1.0,1.0,4,1,2,2.0,1.0,1.0,1.0,1,1,42,9.0,9,3,3.0,1440.0,,6,1,,480.0,1.0,1,2.0,2008,1004,0,1.0,0
18,SC90,RL,72.0,10791,2,,4,Lvl,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,,,,,0,,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,,CarPort,1967.0,Unf,2,516,3.0,3.0,2,0,0,0,0,0,0,,,Shed,500,Oct,2006,WD,Normal,90000,2,2,,1.0,1.0,,4,1,1,,,,,1,1,20,9.0,9,6,,1548.0,,4,1,,516.0,,2,2.0,1296,1296,0,0.0,0
19,SC20,RL,66.0,13695,2,,4,Lvl,4,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,0.0,6.0,646,1.0,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,,Detchd,2004.0,Unf,2,576,3.0,3.0,2,0,102,0,0,0,0,,,,0,Jun,2008,WD,Normal,159000,2,2,,1.0,1.0,,4,2,2,2.0,1.0,1.0,1.0,1,1,25,9.0,9,4,,1728.0,,4,1,,576.0,,2,2.5,2228,1114,102,0.0,0
20,SC20,RL,70.0,7560,2,,4,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,504,1.0,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,,Attchd,1958.0,Unf,1,294,3.0,3.0,2,0,0,0,0,0,0,,MnPrv,,0,May,2009,COD,Abnorml,139000,2,2,,1.0,1.0,,3,1,1,1.0,1.0,1.0,1.0,1,1,30,9.0,9,3,,882.0,,4,1,,294.0,,1,1.0,2368,1339,0,0.0,0
21,SC60,RL,101.0,14215,2,,3,Lvl,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5.0,3.0,2.0,1.0,0,1.0,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4.0,BuiltIn,2005.0,RFn,3,853,3.0,3.0,2,240,154,0,0,0,0,,,,0,Nov,2006,New,Partial,325300,3,2,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,2.0,1,2,40,9.0,12,4,4.0,2559.0,,6,2,,853.0,2.0,2,3.5,3534,2376,154,1.0,1
22,SC45,RM,57.0,7449,2,1.0,4,Bnk,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3.0,0.0,1.0,0,1.0,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4.0,Attchd,1930.0,Unf,1,280,3.0,3.0,0,0,0,205,0,0,0,,GdPrv,,0,Jun,2007,WD,Normal,139400,3,3,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,1.0,1,1,49,9.0,9,4,4.0,840.0,,9,1,,280.0,2.0,2,1.0,1745,1108,205,0.0,0
23,SC20,RL,75.0,9742,2,,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4.0,3.0,0.0,1.0,0,1.0,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4.0,Attchd,2002.0,RFn,2,534,3.0,3.0,2,171,159,0,0,0,0,,,,0,Sep,2008,WD,Normal,230000,3,2,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,2.0,1,2,40,9.0,12,4,4.0,1602.0,,6,2,,534.0,2.0,2,2.0,3572,1795,159,1.0,0
24,SC120,RM,44.0,4224,2,,4,Lvl,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4.0,3.0,0.0,6.0,840,1.0,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3.0,Attchd,1976.0,Unf,2,572,3.0,3.0,2,100,110,0,0,0,0,,,,0,Jun,2007,WD,Normal,129900,2,3,,1.0,1.0,1.0,4,1,1,2.0,1.0,1.0,2.0,1,1,35,9.0,9,3,3.0,1716.0,,6,1,,572.0,1.0,1,2.0,2100,1060,110,0.0,0
25,SC20,RL,,8246,2,,3,Lvl,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3.0,3.0,1.0,3.0,188,5.0,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3.0,Attchd,1968.0,Unf,1,270,3.0,3.0,2,406,90,0,0,0,0,,MnPrv,,0,May,2010,WD,Normal,154000,2,3,,1.0,1.0,1.0,4,2,2,1.0,2.0,1.0,1.0,2,1,40,9.0,12,4,3.0,810.0,,6,2,,270.0,1.0,2,2.0,2120,1060,90,0.0,0
26,SC20,RL,110.0,14230,2,,4,Lvl,4,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4.0,3.0,0.0,1.0,0,1.0,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,4.0,Attchd,2007.0,RFn,3,890,3.0,3.0,2,0,56,0,0,0,0,,,,0,Jul,2009,WD,Normal,256300,3,2,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,2.0,1,2,40,9.0,12,4,4.0,2670.0,,6,2,,890.0,2.0,2,2.0,3166,1600,56,1.0,0
27,SC20,RL,60.0,7200,2,,4,Lvl,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,4.0,234,3.0,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,8,0,,Detchd,2005.0,Unf,2,576,3.0,3.0,2,222,32,0,0,0,0,,,,0,May,2010,WD,Normal,134800,2,3,,1.0,1.0,,4,2,1,2.0,1.0,1.0,1.0,1,1,35,9.0,9,4,,1728.0,,6,1,,576.0,,2,1.5,1800,900,32,0.0,0
28,SC20,RL,98.0,11478,2,,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5.0,3.0,0.0,6.0,1218,1.0,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4.0,Attchd,2008.0,RFn,3,772,3.0,3.0,2,0,50,0,0,0,0,,,,0,May,2010,WD,Normal,306000,3,2,,1.0,1.0,2.0,4,2,2,2.0,1.0,1.0,2.0,1,2,40,9.0,12,4,4.0,2316.0,,6,2,,772.0,2.0,2,3.0,3408,1704,50,1.0,0
29,SC20,RL,47.0,16321,2,,3,Lvl,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,3.0,4.0,1277,1.0,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,4.0,Attchd,1957.0,RFn,1,319,3.0,3.0,2,288,258,0,0,0,0,,,,0,Dec,2006,WD,Normal,207500,2,2,,1.0,1.0,2.0,4,1,1,2.0,1.0,1.0,1.0,1,1,30,9.0,9,3,8.0,957.0,,4,1,,319.0,4.0,1,2.0,3084,1600,258,0.0,0
30,SC30,RM,60.0,6324,2,,3,Lvl,4,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,0,1.0,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,8,0,,Detchd,1920.0,Unf,1,240,2.0,3.0,2,49,0,87,0,0,0,,,,0,May,2008,WD,Normal,68500,2,2,,1.0,1.0,,4,1,1,1.0,1.0,1.0,1.0,1,1,24,6.0,9,2,,480.0,,4,1,,240.0,,1,1.0,1040,520,87,0.0,0
31,SC70,C (all),50.0,8500,2,2.0,4,Lvl,4,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3.0,3.0,0.0,1.0,0,1.0,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,,Detchd,1920.0,Unf,1,250,3.0,2.0,0,0,54,172,0,0,0,,MnPrv,,0,Jul,2008,WD,Normal,40000,2,2,,1.0,1.0,,4,1,1,1.0,1.0,1.0,1.0,1,1,16,6.0,6,3,,750.0,,4,1,,250.0,,1,1.0,1966,1317,226,0.0,0
32,SC20,RL,,8544,2,,3,Lvl,4,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,0.0,1.0,0,1.0,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,,Attchd,1966.0,Unf,1,271,3.0,3.0,2,0,65,0,0,0,0,,MnPrv,,0,Jun,2008,WD,Normal,149350,2,2,,1.0,1.0,,4,2,2,1.0,1.0,1.0,1.0,1,1,30,9.0,9,4,,813.0,,4,1,,271.0,,2,1.5,2456,1228,65,0.0,0
33,SC20,RL,85.0,11049,2,,4,Lvl,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3.0,2.0,1.0,0,1.0,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,,Attchd,2007.0,RFn,2,484,3.0,3.0,2,0,30,0,0,0,0,,,,0,Jan,2008,WD,Normal,179900,3,2,,1.0,1.0,,4,2,2,1.0,1.0,1.0,2.0,1,2,40,9.0,12,4,,1452.0,,6,2,,484.0,,2,2.0,2468,1234,30,0.0,0
34,SC20,RL,70.0,10552,2,,3,Lvl,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,3.0,0.0,3.0,1018,1.0,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,4.0,Attchd,1959.0,RFn,2,447,3.0,3.0,2,0,38,0,0,0,0,,,,0,Apr,2010,WD,Normal,165500,2,2,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,1.0,1,1,25,9.0,9,4,4.0,1341.0,,4,1,,447.0,2.0,2,2.0,3098,1700,38,0.0,0
35,SC120,RL,60.0,7313,2,,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5.0,3.0,0.0,6.0,1153,1.0,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,4.0,Attchd,2005.0,Fin,2,556,3.0,3.0,2,203,47,0,0,0,0,,,,0,Aug,2007,WD,Normal,277500,3,2,,1.0,1.0,2.0,4,2,2,2.0,1.0,1.0,2.0,1,2,45,9.0,15,5,4.0,1668.0,,6,2,,556.0,2.0,2,3.0,3122,1561,47,1.0,0
36,SC60,RL,108.0,13418,2,,4,Lvl,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5.0,3.0,2.0,1.0,0,1.0,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,4.0,BuiltIn,2004.0,Fin,3,691,3.0,3.0,2,113,32,0,0,0,0,,,,0,Sep,2006,WD,Normal,309000,3,2,,1.0,1.0,2.0,4,2,2,1.0,1.0,1.0,2.0,1,2,40,9.0,12,4,4.0,2073.0,,6,2,,691.0,2.0,2,3.5,3569,2452,32,1.0,0
